Total Cases,2015 Cases,2016 Cases,2017 Cases,2018 Cases,2019 Cases,2020 Cases,2021 Cases,Area in Square Kilometers,Population Count,Housing Unit Count,Total Population,Population Density,Total Area (sq miles),Housing Units,Occupied Units,Vacant Units,% Occupied Units,% Vacant Units,% White,% Black ,% American Indian ,% Asian ,% Native Pacific Islander ,% Other ,% Multiracial ,Crime Rate
402,64,88,81,78,22,41,28,0.62617426,4865,1830,4865,20122.7003,0.2418,1830,1695,135,92.62,7.38,13.32,71.14,0.43,4.83,0,5.53,4.75,82.63103803
768,109,137,198,156,25,79,64,0.85893187,5989,2383,5989,18058.9827,0.3316,2383,2174,209,91.23,8.77,17.37,59.19,0.67,9.55,0.03,8.16,5.03,128.2350977
237,34,51,49,50,7,26,20,0.55258708,5154,2192,5154,24157.0042,0.2134,2192,2028,164,92.52,7.48,43.02,29.92,0.17,16.38,0.04,6.71,3.76,45.98370198
240,18,65,44,39,8,40,26,1.2301483,1904,840,1904,5562.8986,0.4753,840,754,86,89.76,10.24,72.53,13.55,0.05,8.4,0.11,2.84,2.52,126.0504202
352,43,96,58,60,19,46,30,1.37721716,4322,1975,4322,9298.2324,0.5318,1975,1873,102,94.84,5.16,90.26,3.63,0.19,3.86,0,1.06,0.99,81.44377603
366,58,85,49,78,12,52,32,1.90768007,5546,2702,5546,8134.6765,0.7368,2702,2524,178,93.41,6.59,54.78,26.34,0.29,11.22,0.02,2.98,4.38,65.99350884
463,52,76,63,89,37,95,51,1.00121126,4072,1729,4072,11037.6623,0.3869,1729,1610,119,93.12,6.88,24.68,60.46,0.12,6.9,0.07,3.95,3.81,113.7033399
613,85,118,141,121,29,61,58,1.30213152,5480,2266,5480,10949.1016,0.5025,2266,2127,139,93.87,6.13,4.58,85.64,0.55,0.26,0,5.55,3.43,111.8613139
315,44,72,78,61,15,27,18,1.16958017,4979,2149,4979,11067.1279,0.4519,2149,1968,181,91.58,8.42,6.39,81.14,0.7,1.08,0.06,6.27,4.36,63.26571601
216,43,56,33,43,10,18,13,0.37976885,3155,1160,3155,21516.8528,0.1466,1160,1048,112,90.34,9.66,2.16,84.79,0.25,0.06,0.03,7.96,4.75,68.46275753
606,59,128,129,146,31,62,51,0.56124122,4396,1672,4396,20286.3411,0.2167,1672,1511,161,90.37,9.63,3.94,87.56,0.57,0.59,0.07,4.37,2.91,137.8525933
